	otu_id	size_denoised	size_clustered	kingdom	domain	phyllum	class	order	family	genus	species	closest_match	percent_identity	sample
359	centroid=e8d100ab0f0df62b224253a60dce0389c1c8b6b4;size=6;;seqs=1	6	1	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Prokinetoplastida	Ichthyobodonidae	Ichthyobodo	Ichthyobodo_salmonis	AY224685	74.9	A3_18S
360	centroid=e3eb65fccea762578868028c6c53b5e511a8c948;size=6;;seqs=1	6	1	Eukaryota	TSAR	Rhizaria-Radiolaria	RAD-B	RAD-B_X	RAD-B_X_Group-IVd	RAD-B_X_Group-IVd_X	RAD-B_X_Group-IVd_X_sp.	KJ762298	82.8	A3_18S
361	centroid=8e056c2cf2ae8c1318c5fb552ab21dbd16936940;size=6;;seqs=7	6	7	Eukaryota	TSAR	Rhizaria-Radiolaria	Acantharea	Acantharea_4	Acantharea_4d	Acantharea_4d_X	Acantharea_4d_X_sp.	KJ763536	96.8	A3_18S
362	centroid=ec108cd457d768ffc4f69843e012c802ab71f8a7;size=6;;seqs=17	6	17	Eukaryota	TSAR	Alveolata-Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_spirale	HM581706	99.0	A3_18S
363	centroid=1c8636e972478af1621913736cfcd5f4b14f7db5;size=5;;seqs=6	5	6	Eukaryota	TSAR	Alveolata-Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-4	Dino-Group-I-Clade-4_X	Dino-Group-I-Clade-4_X_sp.	KF031707	98.0	A3_18S
364	centroid=09713d5d8cfd8bb6f67e6fa7b5f02af4d0d391e5;size=5;;seqs=1	5	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa-Gromiidea	Gromiida	Gromiidae	Gromia	Gromia_winnetoui	MG519735	88.0	A3_18S
365	centroid=adbe6626c2306278f27ea02e0e48a2218f12a665;size=6;;seqs=2	6	2	Eukaryota	TSAR	Stramenopiles-Gyrista	Hyphochytriomyceta	Hyphochytriales	Hyphochrytriaceae	Hyphochytrium	Hyphochytrium_catenoides	AB505558	95.5	A3_18S
366	centroid=065c89d7c27d442c36dd0c779d693566589eb1e1;size=5;;seqs=1	5	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Diplonemidae	Diplonema	Diplonema_aggregatum	MF422192	80.0	A3_18S
367	centroid=ffeff435787e3e9fbbf9f80c0b57567332cf0c2d;size=6;;seqs=1	6	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Eupelagonemidae	Eupelagonemidae_X	Eupelagonemidae_X_sp.	KX189158	90.6	A3_18S
368	centroid=f5ede5fc46fcdfd6af2a6a8357923f47221fb79e;size=6;;seqs=1	6	1	Eukaryota	TSAR	Alveolata-Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_nanum	DQ388459	93.3	A3_18S
369	centroid=254b7513d612469f70fa9b1b32cfb134326d2fd7;size=5;;seqs=2	5	2	Eukaryota	Obazoa	Opisthokonta-Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.	KJ762435	95.3	A3_18S
370	centroid=60b45e2adaa291b45b33b3843b218e8d3eb49bd6;size=8;;seqs=1	8	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	82.0	A3_18S
371	centroid=45bb2b253d7791b88143df0ed688a1190ca9dfd1;size=7;;seqs=1	7	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	85.5	A3_18S
372	centroid=d87ae36f308b97f749e5ee8d0370ee2e82dec345;size=7;;seqs=1	7	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	84.0	A3_18S
373	centroid=3f26956a554486e6be461b295975477e4467195b;size=5;;seqs=1	5	1	Eukaryota	Haptista	Centroplasthelida-Centroplasthelida_X	Pterocystida	Pterista	Pterocystidae	Pterocystis	Pterocystis_sp.	AY749607	91.0	A3_18S
374	centroid=363a7a8bec90d7d7ca47864b9c3a2c4eded9e7be;size=5;;seqs=5	5	5	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	87.7	A3_18S
375	centroid=30aa344362876d2534ee2d9335903fb4977beb26;size=5;;seqs=2	5	2	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Euplotia	Aspidiscidae	Aspidisca	Aspidisca_fusca	JX025168	93.2	A3_18S
376	centroid=4204e403e9d17f2f88bab0cf6573d83a62cbe4f7;size=5;;seqs=1	5	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.	EF023715	90.7	A3_18S
377	centroid=1ad6b9df75116146cfd65831defc4c526c3a6bc9;size=5;;seqs=1	5	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Diplonemidae	Diplonema	Diplonema_aggregatum	MF422194	91.9	A3_18S
378	centroid=e9fa7f91051e17d430e9d0dcd572c188559020c7;size=6;;seqs=1	6	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	84.2	A3_18S
379	centroid=5d585fb42069a5b576562652fa80b52203d0e172;size=5;;seqs=1	5	1	Eukaryota	TSAR	Alveolata-Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.	KJ757909	95.6	A3_18S
380	centroid=4be7a500ef93517c517bd2ff1e7638fe31371d33;size=5;;seqs=2	5	2	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Kinetoplastea_X	Kinetoplastea_XX	Kinetoplastea_XX_MET10	Kinetoplastea_XX_MET10_sp.	AY490219	95.0	A3_18S
381	centroid=2beb08fa0e32b795a5ca8d22d251c2298c736c00;size=5;;seqs=2	5	2	Eukaryota	TSAR	Alveolata-Perkinsea	Perkinsida	Perkinsida_X	Perkinsidae	Perkinsus	Perkinsus_mediterraneus	AY486140	86.2	A3_18S
382	centroid=5ef86abd84bb1cb088e1439ca2e25218a400ae3e;size=5;;seqs=33	5	33	Eukaryota	TSAR	Alveolata-Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	Litostomatea_XXX	Litostomatea_XXX_sp.	JF263451	95.7	A3_18S
383	centroid=64d9b650074d8949b2b36973a6324aa70c69f38c;size=5;;seqs=15	5	15	Eukaryota	TSAR	Alveolata-Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	KU314867	95.9	A3_18S
384	centroid=8cbd8fa902841311336355535e2e1ce2b38065b5;size=5;;seqs=2	5	2	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Euplotia	Aspidiscidae	Aspidisca	Aspidisca_fusca	JX025168	91.2	A3_18S
385	centroid=67757672efb11499f539a9908845afddbb8da01f;size=5;;seqs=1	5	1	Eukaryota	TSAR	Alveolata-Apicomplexa	Coccidiomorphea	Marosporida	Margolisiellidae	Margolisiella	Margolisiella_islandica	JN227668	88.7	A3_18S
386	centroid=b28bdea71c72257b2fb1e9382e0a5453dbf9e896;size=5;;seqs=1	5	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Mediophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira_rotula	GCVF01000088	91.0	A3_18S
387	centroid=7a9e6acc965c3aa184fa61e9972f45435bb5ff09;size=5;;seqs=1	5	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Diplonemidae	Flectonema	Flectonema_neradi	AY425010	96.1	A3_18S
388	centroid=b8c0ec2224315947e5165c7842a49cc356be191a;size=5;;seqs=16	5	16	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	87.0	A3_18S
389	centroid=6c0794b736e8c0709540c33b2c7328fa3e6ed6fe;size=5;;seqs=2	5	2	Eukaryota	Excavata	Discoba-Euglenozoa	Euglenida	Petalomonadida	Scytomonadidae	Notosolenus	Notosolenus_urceolatus	MT007867	88.2	A3_18S
390	centroid=ea7840f39d433f0c308de25694900f7d83e1d897;size=5;;seqs=1	5	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Vampyrellida	Arachnulidae	Arachnulidae_X	Arachnulidae_XX	EU910603	91.1	A3_18S
391	centroid=f214ea9a04613636bf85cc0aa5d2c1f9d003b8ed;size=5;;seqs=1	5	1	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Prokinetoplastida	Ichthyobodonidae	Ichthyobodonidae_PRO1	Ichthyobodonidae_PRO1_sp.	AY753947	75.7	A3_18S
392	centroid=d1441f2c619af0eb93989e3a5a92e68959bb4237;size=5;;seqs=1	5	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.	AY180006	90.6	A3_18S
393	centroid=bf866d04454d9f04d0fd078c69a793d98037a63f;size=5;;seqs=9	5	9	Eukaryota	TSAR	Alveolata-Perkinsea	Perkinsida	Perkinsida_X	Parviluciferaceae	Dinovorax	Dinovorax_pyriformis	MT606011	97.7	A3_18S
394	centroid=064af3d6c907e8cba7507e24412f17c0ab72624b;size=4;;seqs=5	4	5	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Diplonemidae	Lacrimia	Lacrimia_lanifica	MF422200	92.3	A3_18S
395	centroid=1d8336fc4cbcafc16d04f8a451da5713806ce503;size=5;;seqs=1	5	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis_kerguelensis	LR812489	96.2	A3_18S
396	centroid=08d2e42d1537e00a75c6843294b7f1abc9da1a05;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Granofilosea	Massiterida	Massiteriidae	Massisteria	Massisteria_sp.	EF405665	95.2	A3_18S
397	centroid=ca4abccb45ea289f65b33526a7d1a1add26935d6;size=5;;seqs=2	5	2	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	87.7	A3_18S
398	centroid=0e5649f547a9e4b80bc2bffd16fae4a6f861099f;size=4;;seqs=1	4	1	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Euplotia	Euplotidae	Euplotes	Euplotes_sinicus	FJ423448	96.1	A3_18S
399	centroid=fe59aad1e55be3fe17e88d876ae667663d70b4ff;size=5;;seqs=3	5	3	Eukaryota	TSAR	Alveolata-Ciliophora	Heterotrichea	Heterotrichea_X	Peritromidae	Peritromus	Peritromus_kahli	AJ537427	97.4	A3_18S
400	centroid=179094ac4537c067f42c77c54cd067bb15fd675c;size=4;;seqs=1	4	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis_kerguelensis	LR812489	96.0	A3_18S
401	centroid=168110ea13fd3398d840c70c18fc18c2039f77d4;size=4;;seqs=1	4	1	Eukaryota	TSAR	Alveolata-Ciliophora	Heterotrichea	Heterotrichea_X	Spirostomidae	Anigsteinia	Anigsteinia_clarissima	KR815914	98.1	A3_18S
402	centroid=1d922282329bd463f887c134242caa66bd2b41c5;size=4;;seqs=1	4	1	Eukaryota	TSAR	Alveolata-Ciliophora	Karyorelictea	Karyorelictea_X	Wilbertomorphidae	Wilbertomorpha	Wilbertomorpha_colpoda	JX204736	89.4	A3_18S
403	centroid=0e7586f3a2adeb75924cbd52e243a0ca88a8c15a;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Novel-clade-10-12	Novel-clade-12	NC12B-lineage	NC12B-lineage_X	NC12B-lineage_X_sp.	DQ103828	88.1	A3_18S
404	centroid=125a95240d996a3d7b07500bb2a4eab98a3fb5cb;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa-Ascetosporea	Paradinida	Paradinida_X	Paradinida_XX	Paradinida_XX_sp.	AY449715	87.9	A3_18S
405	centroid=1ba16d6d03790f5bf0918ab958106d2eb856ef79;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Vampyrellida	Arachnulidae	Thalassomyxa	Thalassomyxa_strain_LBC	OK381879	98.1	A3_18S
406	centroid=1f4406fb83012ecb017043920992c78883b769b7;size=4;;seqs=1	4	1	Eukaryota	Amoebozoa	Discosea-Discosea_X	Flabellinia	Dactylopodida	Paramoebidae	Paramoebidae_X	Paramoebidae_X_sp.	AB505545	94.0	A3_18S
407	centroid=1c707ebab515a8126175979d65d60f60e4a68bf3;size=4;;seqs=1	4	1	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Euplotia	Aspidiscidae	Aspidisca	Aspidisca_fusca	JX025168	92.8	A3_18S
408	centroid=41c0806f967bff9417242adde50867cfa0589310;size=4;;seqs=1	4	1	Eukaryota	TSAR	Alveolata-Ciliophora	Phyllopharyngea	Suctoria	Endogenida_2	Endogenida_2_X	Endogenida_2_X_sp.	EU050966	95.6	A3_18S
409	centroid=21814e14082a7642f3ec2590d47a5c888d0f6233;size=4;;seqs=3	4	3	Eukaryota	TSAR	Stramenopiles-Gyrista	Bolidophyceae	Parmales	Parmales_env_2	Parmales_env_2_X	Parmales_env_2_X_sp.	FN263265	97.3	A3_18S
410	centroid=2bd5eaee23111832af7e7e96a81f1c8409fc4bbd;size=4;;seqs=1	4	1	Eukaryota	Haptista	Centroplasthelida-Centroplasthelida_X	Pterocystida	Pterista	Oxnerellidae	Oxnerella	Oxnerella_micra	JQ245079	92.7	A3_18S
411	centroid=2581ba859906a937fc91094f06d1f88688d81808;size=4;;seqs=5	4	5	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Eupelagonemidae	Eupelagonemidae_X	Eupelagonemidae_X_sp.	KX189158	96.4	A3_18S
412	centroid=4d36aa9b5c815db8004e98a61b3cab9ef1e6cb87;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	90.0	A3_18S
413	centroid=4365fe158766813ccbfb78e3b238491d8b02eb8e;size=4;;seqs=4	4	4	Eukaryota	Obazoa	Opisthokonta-Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	EF219013	97.4	A3_18S
414	centroid=4438d31596205468358f42b435cad6c2cd307876;size=4;;seqs=2	4	2	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Neobodonida	Rhynchomonadidae	Rhynchomonas	Rhynchomonas_sp.	AY827855	95.3	A3_18S
415	centroid=5d042730929b021b37a45b2d82348785d81fcdd6;size=4;;seqs=27	4	27	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Eupelagonemidae	Eupelagonemidae_X	Eupelagonemidae_X_sp.	KY947153	97.3	A3_18S
416	centroid=69aaefad70703bd9b680ae848b2370b61172f81e;size=4;;seqs=1	4	1	Eukaryota	TSAR	Stramenopiles-Bigyra	Sagenista	Labyrinthulomycetes	Thraustochytriaceae	Thraustochytriaceae_LAB17	Thraustochytriaceae_LAB17_sp.	JF791020	94.4	A3_18S
417	centroid=6bdafd9c2a6d5d8ba819ad055972ce0c2f77df2d;size=4;;seqs=1	4	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Diplonemidae	Diplonema	Diplonema_ambulator	AY425009	91.4	A3_18S
418	centroid=5f070124301c72d66d74b733758d0aa4e31bbb84;size=4;;seqs=15	4	15	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Thecofilosea	Ventricleftida	CCW10-lineage	CCW10-lineage_X	CCW10-lineage_X_sp.	KC771153	97.3	A3_18S
419	centroid=6e2feb701e6a2fe4f9133ebf199e9aaa4da87ac2;size=4;;seqs=3	4	3	Eukaryota	TSAR	Stramenopiles-Gyrista	Hyphochytriomyceta	Hyphochytriales	Hyphochrytriaceae	Hyphochytrium	Hyphochytrium_catenoides	AF163294	89.1	A3_18S
420	centroid=6e3558c9a54d33a7a29c0b507c3d54975138f0a6;size=4;;seqs=1	4	1	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Kinetoplastea_X	Kinetoplastea_XX	Kinetoplastea_XXX	Kinetoplastea_XXX_sp.	AY963571	92.9	A3_18S
421	centroid=5661ca46088fb95a644f21723038ae1a59033ce8;size=4;;seqs=12	4	12	Eukaryota	TSAR	Alveolata-Ciliophora	Oligohymenophorea	Scuticociliatia_1	Philasterida	Philasterida_X	Philasterida_X_sp.	KJ760283	98.9	A3_18S
422	centroid=4ed4853bf666a29e4d913744f6f6695c6c996774;size=4;;seqs=1	4	1	Eukaryota	TSAR	Stramenopiles-Bigyra	Bicoecea	Borokales	Borokaceae	Borokaceae_X	Borokaceae_X_sp.	KF130433	99.8	A3_18S
423	centroid=7af95f68082fd74ca21dbf0bab9c6ac984e691df;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Flectomonas	Flectomonas_ekelundi	HM536168	91.7	A3_18S
424	centroid=763644e5d84757952b7d8f89b67463fdf1dbb67e;size=4;;seqs=4	4	4	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	92.5	A3_18S
425	centroid=7a03d7fb760f1ec630e23b7fb9973baac9f12a0d;size=4;;seqs=2	4	2	Eukaryota	TSAR	Rhizaria-Radiolaria	RAD-C	RAD-C_X	RAD-C_Xb	RAD-C_Xb_X	RAD-C_Xb_X_sp.	JX188302	98.6	A3_18S
426	centroid=7fb397998a853c068a77ce01c1f31cef553ec82f;size=4;;seqs=1	4	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Fungi_X	Fungi_XX	Fungi_XXX	Fungi_XXXX	Fungi_XXXX_sp.	KC315807	85.8	A3_18S
427	centroid=81e941ae4a6433f91d8f824eb768f370053dd474;size=4;;seqs=1	4	1	Eukaryota	TSAR	Stramenopiles-Bigyra	Opalozoa	Placidida	Placidiales	Placidia	Placidia_cafeteriopsis	MW591541	92.2	A3_18S
428	centroid=965900fa2e888a40b5c4d255872e4312c314576e;size=4;;seqs=1	4	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Eupelagonemidae	Eupelagonemidae_X	Eupelagonemidae_X_sp.	KY947150	86.4	A3_18S
429	centroid=8ba49bfdd09bf18243d4f5eeb7aa383a7c643c9d;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	88.0	A3_18S
430	centroid=8cb5dc218b549bf8830538705c55580fc7b26a1c;size=4;;seqs=5	4	5	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa-Ascetosporea	Paradinida	Paradinida_X	Paradinida_XX	Paradinida_XX_sp.	AY449715	92.8	A3_18S
431	centroid=9da8a6c0580c32e70b0b9f00e94471343055d431;size=4;;seqs=6	4	6	Eukaryota	TSAR	Alveolata-Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-15	Dino-Group-II-Clade-15_X	Dino-Group-II-Clade-15_X_sp.	KJ761265	98.3	A3_18S
432	centroid=bdd366cb9c857a81041f6d0c5fa822427e827553;size=4;;seqs=1	4	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Chytridiomycota	Spizellomycetales	Spizellomycetales_X	Spizellomycetales_XX	Spizellomycetales_XX_sp.	KC670607	88.4	A3_18S
433	centroid=dc6e05b6beb49271555df6149a453655508bfe44;size=4;;seqs=1	4	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Diplonemidae	Diplonema	Diplonema_sp.	AY425011	82.0	A3_18S
434	centroid=de52b69a3d9eaef0ab761817d4e74dcacd80486a;size=4;;seqs=2	4	2	Eukaryota	TSAR	Rhizaria-Radiolaria	RAD-B	RAD-B_X	RAD-B_X_Group-IVd	RAD-B_X_Group-IVd_X	RAD-B_X_Group-IVd_X_sp.	GU246589	87.8	A3_18S
435	centroid=dd7a7443377318950b09cc282235e338c3444c93;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Radiolaria	Acantharea	Acantharea_1	Acantharea_1_X	Acantharea_1_XX	Acantharea_1_XX_sp.	KJ757731	99.3	A3_18S
436	centroid=be59089e66a1bbd86ab54cbff9e0f1fb8d1cd352;size=5;;seqs=1	5	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis_kerguelensis	LR812489	92.5	A3_18S
437	centroid=a8c3ac7bab2c25f9cece454d200c82adacd9d23b;size=4;;seqs=2	4	2	Eukaryota	TSAR	Stramenopiles-Bigyra	Opalozoa	Nanomonadea	MAST-3	MAST-3J	MAST-3J_sp.	EF526878	97.1	A3_18S
438	centroid=e97d47b5c7dd7a4c3216a1eca22788a849b0fb9d;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Thaumatomonadidae	Reckertia	Reckertia_filosa	AY268040	85.7	A3_18S
439	centroid=cc1a312711929fff2c6641fe360646e28cf77a2c;size=4;;seqs=1	4	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Filoretidae	Filoretidae_X	Filoreta	Filoreta_sp.	DQ504354	85.8	A3_18S
440	centroid=be6ba8e9dd389c037035a8ca85c9d62609173c36;size=5;;seqs=1	5	1	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Kinetoplastea_KIN1	Kinetoplastea_KIN1_X	Kinetoplastea_KIN1_XX	Kinetoplastea_KIN1_XX_sp.	AF530521	92.2	A3_18S
441	centroid=0dfd0b6802de451d73f629fd407c4ec7a0f63d91;size=3;;seqs=1	3	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Chytridiomycota	Polychytriales	Polychytriales_X	Polychytrium	Polychytrium_aggregatum	AY601711	87.4	A3_18S
442	centroid=27f6363e2c64ea6f0cedd4e2a499cc43d1d79a75;size=5;;seqs=1	5	1	Eukaryota	Archaeplastida	Rhodophyta-Rhodophyta_X	Compsopogonophyceae	Erythropeltidales	Erythropeltidales_X	Madagascaria	Madagascaria_erythrocladioides	MT117936	93.6	A3_18S
443	centroid=111bd924ab78a0ba81d37e87c88d2a88d15f789a;size=3;;seqs=1	3	1	Eukaryota	TSAR	Alveolata-Perkinsea	Perkinsida	Perkinsida_X	Perkinsidae	Perkinsus	Perkinsus_mediterraneus	AY487831	89.8	A3_18S
444	centroid=24fe1e4f22bf3a635140a548aad26d1c9c0ac06f;size=3;;seqs=1	3	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Eupelagonemidae	Eupelagonemidae_X	Eupelagonemidae_X_sp.	KY947153	97.6	A3_18S
445	centroid=1faeeda1903cbd62e4f7b0ad5ba9a2b5a8bbbbad;size=3;;seqs=2	3	2	Eukaryota	Obazoa	Opisthokonta-Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Apolemia	Apolemia_sp.	AY937330	98.5	A3_18S
446	centroid=1d10832e4b7d75d6931ed21489ca6c7f62d88313;size=3;;seqs=1	3	1	Eukaryota	Excavata	Discoba-Euglenozoa	Diplonemea	Diplonemida	Diplonemida_DSPDII	Diplonemida_DSPDII_X	Diplonemida_DSPDII_X_sp.	KJ760020	74.9	A3_18S
447	centroid=2ae28c8cfbef8079c9c12abea248c2671547529c;size=3;;seqs=6	3	6	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Prokinetoplastida	Ichthyobodonidae	Ichthyobodonidae_X	Ichthyobodonidae_X_sp.	AY753949	93.1	A3_18S
448	centroid=20d2a58e5b5e7a757012b952590989446126efcd;size=3;;seqs=1	3	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis_kerguelensis	LR812489	96.1	A3_18S
449	centroid=2e65c89125628040ef871d17f18897ba57846dcc;size=3;;seqs=1	3	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.	AY180006	94.3	A3_18S
450	centroid=2e9a128bef3f7db501568183f91580eaf3bad9da;size=3;;seqs=4	3	4	Eukaryota	Obazoa	Opisthokonta-Metazoa	Platyhelminthes	Turbellaria	Acoelomorpha	Haplogonaria	Haplogonaria_sp.	FR837700	95.1	A3_18S
451	centroid=30726f8d1b72abb9979d5e6952ff61032cf86c0a;size=3;;seqs=1	3	1	Eukaryota	TSAR	Alveolata-Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-9	Dino-Group-II-Clade-9_X	Dino-Group-II-Clade-9_X_sp.	KJ759022	96.1	A3_18S
452	centroid=1548d2dd7465f8995f0ed8419a52cad585c808eb;size=3;;seqs=1	3	1	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Ulva	Ulva_compressa	MZ596133	91.6	A3_18S
453	centroid=17ae4e90dd23143d8ed388b16081b81431d73733;size=3;;seqs=1	3	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis_kerguelensis	LR812489	92.4	A3_18S
454	centroid=e82af7808fbc1a7c02161b60e47e7abc0f6067a9;size=5;;seqs=3	5	3	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis_kerguelensis	LR812489	94.5	A3_18S
455	centroid=366c32982b8572dffdf3149b1f39db312e95ed55;size=3;;seqs=1	3	1	Eukaryota	Excavata	Discoba-Euglenozoa	Euglenida	Euglenida_X	Keelungiidae	Keelungia	Keelungia_sp.	MK239280	83.6	A3_18S
456	centroid=30d953c97e7b007b785cae436203af8e7470144e;size=3;;seqs=1	3	1	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Prokinetoplastida	Ichthyobodonidae	Ichthyobodonidae_X	Ichthyobodonidae_X_sp.	AY753948	88.9	A3_18S
457	centroid=3e1d65564a90965cc51ce59e5df2b5dd5c9714ac;size=3;;seqs=3	3	3	Eukaryota	TSAR	Rhizaria-Radiolaria	RAD-B	RAD-B_X	RAD-B_X_Group-IVd	RAD-B_X_Group-IVd_X	RAD-B_X_Group-IVd_X_sp.	GU246589	83.7	A3_18S
458	centroid=e5bb00661ceac0462d9756f829120168f09d00b1;size=5;;seqs=3	5	3	Eukaryota	Excavata	Discoba-Euglenozoa	Kinetoplastea	Kinetoplastea_KIN1	Kinetoplastea_KIN1_X	Kinetoplastea_KIN1_XX	Kinetoplastea_KIN1_XX_sp.	AF530521	77.8	A3_18S
